sample_key,case_id,suggested_method,proposed_new_category,reason
21,book2_r1\007.json,实验设计\实验(抽样)方案设计,,该问题要求使用随机数生成器将20名志愿者随机分配到治疗组和对照组，这是一个典型的实验方案设计问题，具体涉及随机化分组（随机分配）。这属于实验设计中的'实验(抽样)方案设计'二级类目，因为其核心任务是设计随机化分配方案以满足临床试验的研究目的。
25,book2_r1\008.json,实验设计\实验(抽样)方案评价,,该问题要求评估调查样本是否能代表总体，这属于从代表性角度评估抽样方案性能的问题。题目关注的是样本数据的代表性（representativeness），即抽样方案是否能够产生对目标总体有代表性的样本，这正是'实验(抽样)方案评价'二级类目的定义范畴——'从抽样误差、代表性等角度，评估实验(抽样)方案性能的问题'。
28,book2_r1\010.json,统计结果批判性评价\统计谬误与偏差识别,,该问题要求对一项统计研究的结论进行批判性评价。文中提到的研究存在典型的统计谬误和偏差：1) 生态学谬误/混杂变量——未佩戴头盔州与佩戴头盔州的死亡率差异可能由其他混杂因素（如交通密度、天气、道路条件、骑行人群构成等）导致，而非头盔法本身；2) 选择偏差——在哈雷骑手集会上调查2500人对头盔法的态度，样本严重偏倚，不能代表一般骑行者；3) 辛普森悖论的可能性。问题的核心是识别这些统计谬误与偏差，属于'统计结果批判性评价\统计谬误与偏差识别'。
29,book2_r1\010.json,因果推断\观测数据,,该问题的核心是对一项观测性研究（比较有/无头盔法律的各州摩托车死亡率）的因果主张进行批判性评估，要求识别需要补充的统计信息以判断该观测比较能否支持因果结论。问题本质涉及观测数据中的因果推断：需要考虑混杂变量（如各州道路条件、骑手人群构成、摩托车类型分布等）、选择偏差（集会调查的非随机抽样导致98%反对的结果不具代表性）、生态学谬误（州级汇总数据不等同于个体层面效应）等威胁因果推断有效性的问题。这些都属于'在非实验、非随机分配的数据中识别处理效应或因果关系'范畴下的经典议题，因此归入'因果推断'下的'观测数据'二级类目最为贴切。
30,book2_r1\011.json,统计结果批判性评价\统计谬误与偏差识别,,该问题要求学生批判性地评价一项调查的结论是否合理。调查存在多种潜在的统计谬误和偏差：例如，问题措辞中提到'controversial'可能引入引导性偏差（wording bias）；随机电话调查的受众与潜在卫星广播订阅者的人群不匹配（选择偏差/代表性问题）；86%不会因Stern而购买并不等同于Stern对订阅没有影响（结论过度推广）。问题的核心是识别调查设计和结论推断中的统计谬误与偏差，属于'统计结果批判性评价\统计谬误与偏差识别'。
33,book2_r1\013.json,数据可视化\离散型-连续型变量关系,,该问题要求绘制处理时间（连续变量）的频率直方图，并在直方图中用阴影标出'lost'订单（离散类别变量）对应的区域，最后解读二者的关系。其本质是通过分组/叠加直方图展示连续变量（处理时间）在不同类别水平（lost vs. not lost）下的分布差异，属于典型的离散型-连续型变量关系可视化。虽然基础图形是直方图，但加入分类阴影并要求解读后，核心目标是揭示处理时间与订单流失之间的关联模式，与'离散型-连续型变量关系'类目的定义（展示连续变量在不同类别水平下分布差异，包括分组密度图等形式）高度吻合。
34,book2_r1\013.json,数据可视化\stem-and-leaf plot,,问题明确要求创建茎叶图(stem-and-leaf display)来展示价格报价处理时间的分布，并通过对丢失订单的叶子进行着色来进行解读。这与数据可视化分类下的'stem-and-leaf plot'二级类目完全吻合，该类目定义为'用茎叶图展示单变量分布及原始数值结构的问题，其核心是既保留原始数值信息又展示分布形态'。
38,book2_r1\016.json,描述性统计量\集中趋势测度,,题目要求计算一组样本数据的中位数（median），中位数是典型的集中趋势测度指标，用于概括数据的中心位置。该问题完全符合'描述性统计量 > 集中趋势测度'的定义，即'用单个数值概括数据中心位置的问题，包括均值、中位数、众数、几何均值等'。
39,book2_r1\016.json,描述性统计量\集中趋势测度,,该问题要求在去除一个观测值后计算剩余数据的中位数。中位数是典型的集中趋势测度，属于描述性统计量中的'集中趋势测度'二级类目。
40,book2_r1\017.json,描述性统计量\集中趋势测度,,题目要求计算50个R&D百分比数据的中位数（median），中位数是典型的集中趋势测度指标，用于概括数据的中心位置。这与'描述性统计量'下的'集中趋势测度'二级类目完全吻合，该类目明确包含均值、中位数、众数等。
