sample_key,case_id,suggested_method,proposed_new_category,reason
1,book3_r1\01.json,数学计算\事件发生概率及独立性,,本题要求在已知先验概率（产品缺陷率5%）和条件概率（测试的灵敏度92%、特异度96%）的情况下，利用贝叶斯公式计算后验概率P(产品合格|测试显示缺陷)。这属于典型的条件概率/贝叶斯公式计算问题，完全符合'事件发生概率及独立性'这一二级类目的定义，该类目明确包含'条件概率、全概率、贝叶斯公式'等内容。
2,book3_r1\02.json,数学计算\事件发生概率及独立性,,该问题要求使用贝叶斯公式（Bayes' rule）计算后验条件概率：已知一个缺陷品被随机选出，求它来自供应商B的概率。这属于经典的条件概率/全概率/贝叶斯公式应用问题，完全符合'事件发生概率及独立性'类目的定义，该定义明确包含'条件概率、全概率、贝叶斯公式'等内容。
3,book3_r1\03.json,数学计算\概率空间相关（如状态数）,,该问题要求计算6个操作的所有可能排列数（即6! = 720），属于基于排列组合计算可能状态数/配置数的问题，与'概率空间相关（如状态数）'二级类目的定义完全吻合。
7,book3_r1\05.json,数学计算\概率空间相关（如状态数）,,该问题要求计算从4个球中有序地抽取3个球的方式数，属于排列组合计算，即基于组合数学计算样本空间大小/可能状态数的问题，与'概率空间相关（如状态数）'二级类目的定义完全吻合。
9,book3_r1\06.json,数学计算\概率空间相关（如状态数）,,该问题要求计算从10人中选3人组成委员会的方式数，属于组合计数问题，即计算样本空间中可能的配置数。这与'概率空间相关（如状态数）'的定义完全吻合，该类目明确包括'排列组合'和'可能配置数'的计算。
11,book3_r1\07.json,数学计算\事件发生概率及独立性,,"该问题的核心是在给定抽样方案（无放回抽取）下，计算""四个球颜色各不相同""这一特定事件的发生概率。虽然计算过程涉及组合计数（从各颜色中各选一个球的方案数与总抽取方案数之比），但最终目标是求一个事件的概率值，属于'根据概率规则、分布假设或列联结构计算事件概率'的范畴，与""事件发生概率及独立性""二级类目的定义高度吻合。"
14,book3_r1\09.json,数学计算\事件发生概率及独立性,,该问题要求根据不放回抽样的组合概率规则（超几何分布），逐一计算随机变量 X 取每个可能值时的概率 P(X=0)、P(X=1)、P(X=2)，从而得到完整的概率函数。其本质是利用组合数学与概率规则计算各事件的发生概率，与'事件发生概率及独立性'二级类目的定义——'根据概率规则、分布假设或列联结构计算事件概率'——高度吻合。该问题不涉及从数据中估计参数（非 MLE/贝叶斯），也不涉及期望计算或样本量反推，因此'事件发生概率及独立性'是最贴切的类目。
15,book3_r1\09.json,数学计算\事件发生概率及独立性,,"该问题要求根据超几何分布的组合概率规则，计算随机变量 X 取每个可能值（0, 1, 2）的概率 P(X=k)，并据此构造累积分布函数 F(x)。其核心计算过程是利用不放回抽样的组合计数规则逐一求事件概率，属于'根据概率规则、分布假设计算事件概率'的范畴，与'事件发生概率及独立性'二级类目的定义吻合。"
18,book3_r1\100.json,数学计算\事件发生概率及独立性,,该问题是一个经典的二项分布概率计算问题：已知每个患者成功响应的概率为0.9，共10个独立患者，求至少8个成功的概率。这属于根据概率分布假设（二项分布）和概率规则计算事件发生概率的问题，完全符合'事件发生概率及独立性'这一二级类目的定义。
19,book3_r1\101.json,数学计算\事件发生概率及独立性,,该问题要求在已知泊松分布参数的前提下，计算特定时间段内到达电话数不超过3次的概率。这属于根据已知分布假设（泊松分布）和概率规则计算事件发生概率的问题，与'事件发生概率及独立性'二级类目的定义完全吻合。
