sample_key,case_id,suggested_method,proposed_new_category,reason
2,book5_r1\001.json,数据可视化\连续型变量分布,,"问题要求对每组的SI变量绘制直方图（histogram），并描述分布形状。这属于展示单个连续变量分布形态的数据可视化问题。虽然问题还涉及到数据中存在右删失值（>80.0）导致绘制直方图的困难，但核心任务仍是用直方图展示连续变量的分布形态并描述其形状（如右偏等），因此最适合归入""数据可视化\连续型变量分布""。"
4,book5_r1\001.json,描述性统计量\集中趋势测度,,问题要求计算两组患者的中位数（median），中位数是典型的集中趋势测度指标，属于描述性统计量中的集中趋势测度类目。
5,book5_r1\001.json,描述性统计量\集中趋势测度,,问题要求计算有不良反应组患者SA总剂量的中位数。中位数是集中趋势测度的经典指标之一，属于'描述性统计量\集中趋势测度'类目。
6,book5_r1\001.json,数据可视化\stem-and-leaf plot,,问题明确要求制作茎叶图（stem-and-leaf diagrams）来比较两组患者的年龄分布，这与现有taxonomy中'数据可视化\stem-and-leaf plot'类目完全吻合。该类目的定义正是'用茎叶图展示单变量分布及原始数值结构的问题，既保留原始数值信息又展示分布形态'，与本题的要求完全一致。
7,book5_r1\001.json,假设检验与区间估计\均值检验,,问题询问两组患者（有不良反应 vs 无不良反应）的平均年龄是否存在差异，这是一个经典的双样本均值比较问题（如两样本 t 检验或 Wilcoxon 秩和检验），属于'均值检验'二级类目。
8,book5_r1\002.json,统计结果批判性评价\统计谬误与偏差识别,,"该问题要求学生判断'professional pilots是否更容易发生航空事故'，核心在于识别统计谬误：professional pilots的每1000人事故率(15.9)最高，但每100,000飞行小时事故率(0.2)却最低。这是典型的Simpson悖论/混杂变量问题——飞行时间（暴露量）作为混杂因素，使得不同率指标得出相反结论。问题的本质是让学生识别因选择不同基准（per capita vs per hour）导致的统计误导，属于统计谬误与偏差识别。"
9,book5_r1\002.json,统计结果批判性评价\统计谬误与偏差识别,,"该问题的核心不仅是制作条形图，更重要的是解释为什么两组不同的率指标（每1000人的事故率 vs 每100,000小时的事故率）会给出不同的排名结果。这涉及到识别统计分析中因使用不同基数/分母（暴露量度不同）而产生的误导性比较，属于典型的统计谬误与偏差识别问题——即Simpson悖论的变体或率的基数效应（rate base fallacy）。问题要求学生理解不同标准化方式会导致不同结论，这是对统计结果中潜在偏差和误解的批判性分析。"
14,book5_r1\004.json,数学计算\事件发生概率及独立性,,该问题要求在已知正态分布的前提下，计算身高超过均值两个标准差（即 z=2.00）的男性比例，本质上是根据标准正态分布的概率表查找 P_upper(z=2.00) 的值，属于根据分布假设计算事件发生概率的问题，对应'数学计算\事件发生概率及独立性'。
15,book5_r1\005.json,数学计算\事件发生概率及独立性,,"该问题要求根据已知的二项分布参数（n=100, p=0.08），计算恰好获得0品脱B型血的概率，即P(X=0)。这是一个基于概率分布假设（二项分布）计算特定事件发生概率的问题，属于'事件发生概率及独立性'类目。"
18,book5_r1\005.json,数学计算\事件发生概率及独立性,,"该问题要求根据已知的单次概率（血型B的概率为0.08），在100个独立供血者中计算获得少于3品脱B型血的概率。这是一个典型的基于二项分布计算事件发生概率的问题（P(X<3) = P(X=0) + P(X=1) + P(X=2)，其中X~Bin(100, 0.08)），属于根据概率规则和分布假设计算事件概率的范畴，与'事件发生概率及独立性'二级类目高度吻合。"
19,book5_r1\006.json,数学计算\事件发生概率及独立性,,该问题要求在已知每次生育为男孩的概率为0.52的前提下，计算三个特定序列（GBGBGB、BBBGGG、GBBBBB）各自发生的精确概率，并比较大小以判断哪个最可能、哪个最不可能。每次生育视为独立事件，各序列的概率为各位置对应概率的乘积。这属于根据概率规则和独立性假设计算事件发生概率的典型问题，完全符合'事件发生概率及独立性'这一二级类目的定义。
21,book5_r1\007.json,数学计算\事件发生概率及独立性,,"该问题要求根据已知的二项分布（n=10, p=0.15）计算特定事件的概率，即P(r>5)=P(r=6)+P(r=7)+...+P(r=10)。这是一个基于概率分布直接计算事件发生概率的问题，属于'事件发生概率及独立性'类目。"
22,book5_r1\007.json,数学计算\期望,,该问题的核心是计算期望数量：已知二项分布下出现6个或更多流产（即'cluster'）的概率为P(r≥6)=0.0012+0.0001+0.0000+...≈0.0013，然后用这个概率乘以20000组，得到期望的cluster数目。这是一个典型的计算随机变量数学期望（长期平均结果）的问题，属于'数学计算\期望'。
23,book5_r1\008.json,数学计算\达到指定概率所需的最小样本量,,该问题要求在已知感染率为10%的条件下，反推至少需要检测多少名儿童才能以95%的概率检测到感染（即至少有一个阳性结果）。这正是'达到指定概率所需的最小样本量'的典型问题：给定事件概率（每个儿童阴性概率为0.9），要求至少发生一次阳性事件的概率≥0.95，反解所需样本量n，即1-0.9^n≥0.95。
25,book5_r1\009.json,数学计算\事件发生概率及独立性,,本题要求在已知正态分布参数（均值175.8，标准差5.84）的前提下，计算身高低于172cm的概率。这属于根据分布假设和概率规则（标准化为z值后查正态分布表）计算特定事件发生概率的问题，与'事件发生概率及独立性'这一二级类目的定义（根据概率规则、分布假设计算事件概率）完全吻合。
26,book5_r1\009.json,数学计算\事件发生概率及独立性,,该问题要求在已知正态分布参数（均值179.1，标准差5.84）的情况下，计算身高低于172cm的概率，即P(X<172)。这是一个标准的正态分布概率计算问题：先将172cm标准化为z值，再查标准正态分布表获得对应的累积概率。本质上属于根据分布假设计算事件（身高不达标）发生概率的问题，符合'数学计算\事件发生概率及独立性'的定义。
27,book5_r1\010.json,数学计算\事件发生概率及独立性,,本题要求计算一个事件的概率：第三次测量值不落在前两次测量值之间的概率。这是一个纯概率计算问题，利用对称性（三个独立同分布的测量值中，任意一个排在中间的概率均为1/3），可得第三个值落在中间的概率为1/3，不落在中间的概率为2/3。该问题属于'根据概率规则计算事件发生概率'的范畴，对应taxonomy中'数学计算\事件发生概率及独立性'。
29,book5_r1\011.json,数学计算\事件发生概率及独立性,,该问题要求根据已知的遗传概率规则（每个孩子不受影响的概率为3/4），计算两个独立事件（两个孩子均不受影响）同时发生的概率。这属于基于概率规则计算事件概率并利用独立性进行联合概率计算的问题，完全符合'事件发生概率及独立性'这一二级类目的定义。
30,book5_r1\011.json,数学计算\事件发生概率及独立性,,本题的核心是利用独立性计算事件概率：每次生育是独立事件，第五个孩子不受影响的概率与前四个孩子的结果无关，仍为3/4。这属于根据概率规则和独立性假设计算事件发生概率的问题，完全符合'事件发生概率及独立性'这一二级类目的定义。
31,book5_r1\011.json,数学计算\期望,,该问题要求根据已知的杂合子携带率（1/22）和孟德尔遗传概率（两个杂合子父母生出患病孩子的概率为1/4），计算在3500次出生中预期患囊性纤维化的婴儿数量。这本质上是一个期望值计算问题：先计算父母双方均为杂合子的概率（(1/22)^2），再乘以孩子患病概率（1/4），最后乘以总出生数（3500），得到每年预期患病婴儿数。属于'数学计算\期望'类目。
32,book5_r1\012.json,统计结果批判性评价\统计谬误与偏差识别,,该问题要求评估研究者在抽样设计中排除首次调查未饮酒者是否合理，核心在于识别这种做法可能引入的选择偏差（selection bias）。排除非饮酒者意味着研究样本不能代表全部人群，可能遗漏了那些在首次调查中未饮酒但后来可能开始饮酒的人，或者忽略了'回归均值'效应等问题。这属于对统计分析中潜在偏差和谬误的批判性识别，适合归入'统计结果批判性评价\统计谬误与偏差识别'。
33,book5_r1\012.json,统计结果批判性评价\统计谬误与偏差识别,,该问题要求评估第二次调查的响应率（69%），分析非响应者与响应者可能的系统性差异（如非响应者可能饮酒更多或更少），以及这种非响应偏差（non-response bias/selection bias）如何影响研究结论的解读。这属于识别统计分析中的选择偏差和非响应偏差问题，核心在于批判性地识别调查设计和执行中的潜在偏差对结果可靠性的影响，符合'统计谬误与偏差识别'的定义。
34,book5_r1\012.json,统计结果批判性评价\统计谬误与偏差识别,,该问题要求评估两次调查未在完全相同的年份时间段进行是否会引入偏差。这属于识别潜在的混杂因素和系统偏差（季节性效应可能导致饮酒量的自然波动，从而混淆价格上涨对饮酒量的影响），是对研究设计中潜在统计谬误与偏差的批判性识别问题。应归入'统计结果批判性评价\统计谬误与偏差识别'。
