sample_key,case_id,suggested_method,proposed_new_category,reason
19,book4_r1\005.json,实验设计\实验(抽样)方案设计,,该问题的核心是在比较两组（大型车与小型车）碳排放差异的研究中，如何设计抽样方案：是从单辆车上取20个读数，还是从20辆不同的车上各取1个读数。这是一个关于实验/抽样方案设计的问题，涉及抽样单元的选择（车辆间变异 vs 车辆内变异）、代表性和推断范围等实验设计核心概念。该问题直接属于'实验设计\实验(抽样)方案设计'类目。
21,book4_r1\006.json,描述性统计量\频率与比例测度,,问题要求为秋季刺猬的体重数据创建频率表（frequency table），即统计各取值或区间的频数和占比。这属于描述性统计量中'频率与比例测度'的范畴，该二级类目明确包含频数、比例等描述数据中特定取值或类别出现情况的问题。
22,book4_r1\006.json,数据可视化\连续型变量分布,,"题目要求对秋季刺猬体重（连续变量）绘制频率直方图（frequency histogram），这正是展示单个连续变量分布形态的可视化方法，完全符合""数据可视化\连续型变量分布""的定义（包括直方图、密度图、箱线图等）。"
23,book4_r1\006.json,描述性统计量\集中趋势测度,,该问题要求计算均值、标准差、均值标准误、自由度以及均值的95%置信区间。这些统计量的核心目的是概括数据的中心位置特征（均值）及其精度（标准误和置信区间）。虽然问题也涉及标准差（分散程度测度）和置信区间（区间估计），但题目的主要目标是围绕均值展开的一系列描述性统计计算，包括均值的点估计和区间估计。在现有taxonomy中，'集中趋势测度'最能概括这一以均值为核心的综合描述性统计任务。标准差和标准误在此场景中都是服务于刻画均值估计精度的辅助量，置信区间也是均值的区间估计，因此整体归入'集中趋势测度'最为合适。
24,book4_r1\006.json,数据可视化\离散型-连续型变量关系,,该问题要求绘制刺猬在秋季和春季（离散型分组变量）体重均值及标准误误差线（连续型变量）的条形图或点图。这属于展示连续变量在不同类别水平下中心趋势及变异的可视化问题，与'离散型-连续型变量关系'二级类目完全对应，该类目明确包含'误差线图'这一形式。
25,book4_r1\007.json,描述性统计量\分位数/百分位数,,题目要求计算两组数据的中位数（Median）、下四分位数（Lower quartile）和上四分位数（Upper quartile），这些都是典型的分位数/百分位数计算问题，属于描述性统计量中的'分位数/百分位数'类目。
31,book4_r1\009.json,假设检验与区间估计\均值检验,,该问题要求对两组独立样本（Rural vs Urban）在正态分布假设下使用 t 检验比较均值差异，并报告均值、标准差、t 值、自由度和 p 值。这是典型的双样本独立 t 检验问题，属于'均值检验'二级类目。
32,book4_r1\009.json,假设检验与区间估计\均值检验,,该问题要求比较两组独立样本（rural vs urban）的悬浮沉积物水平是否存在差异，属于经典的两独立样本均值比较问题。数据为两组各10个观测值的连续变量，适用双样本t检验（或非参数等价检验如Mann-Whitney U检验）来判断两组均值是否有显著差异。这正对应'均值检验'二级类目中'双样本t检验'的描述。
33,book4_r1\010.json,假设检验与区间估计\均值检验,,Mann-Whitney U检验是非参数检验，用于比较两个独立样本的中心位置（中位数）是否存在显著差异，本质上是均值/中位数检验的非参数替代。该问题比较Active和Unused两组的visibility score是否有显著差异，属于两独立样本的中心位置比较问题。虽然taxonomy中'均值检验'以参数检验命名，但其定义为'比较一个或多个总体均值与某给定值或彼此之间大小关系的问题'，Mann-Whitney U检验作为两独立样本t检验的非参数对应方法，最适合归入此类。
34,book4_r1\010.json,假设检验与区间估计\均值检验,,该问题比较两组（Active vs Unused）的可见性评分是否存在显著差异，以判断可见性对獾穴是否仍活跃的影响。虽然数据为有序评分（1-6），可能使用非参数检验（如Mann-Whitney U检验）或两样本t检验，但核心目的是比较两组的位置参数（均值/中位数）是否有显著差异。这属于'均值检验'二级类目，该类目涵盖两样本均值/位置参数比较的问题。
